"LOC_X","LOC_Y","SHOT_MADE","GAME_DATE","SHOT_TYPE"
-12.9,27.75,TRUE,"04-15-2015","3PT Field Goal"
-13.5,22.05,FALSE,"04-15-2015","2PT Field Goal"
19,27.75,FALSE,"04-15-2015","3PT Field Goal"
14.6,21.95,FALSE,"04-15-2015","2PT Field Goal"
1,6.65,TRUE,"04-15-2015","2PT Field Goal"
9.3,31.25,TRUE,"04-15-2015","3PT Field Goal"
-5.6,30.25,FALSE,"04-15-2015","3PT Field Goal"
-5.3,26.65,FALSE,"04-15-2015","2PT Field Goal"
-4.8,16.05,TRUE,"04-15-2015","2PT Field Goal"
-0.4,10.85,FALSE,"04-15-2015","2PT Field Goal"
-2.1,50.75,FALSE,"04-13-2015","3PT Field Goal"
-22.5,17.55,TRUE,"04-13-2015","3PT Field Goal"
-4.7,31.35,FALSE,"04-13-2015","3PT Field Goal"
-11.4,31.05,TRUE,"04-13-2015","3PT Field Goal"
20.2,9.45,FALSE,"04-13-2015","2PT Field Goal"
-11.3,29.35,FALSE,"04-13-2015","3PT Field Goal"
-13.8,21.15,TRUE,"04-13-2015","2PT Field Goal"
-17.9,24.45,TRUE,"04-13-2015","3PT Field Goal"
-1.3,6.35,TRUE,"04-13-2015","2PT Field Goal"
-11.6,23.35,TRUE,"04-13-2015","2PT Field Goal"
-9.9,31.25,FALSE,"04-11-2015","3PT Field Goal"
-1.7,6.45,TRUE,"04-11-2015","2PT Field Goal"
-8.9,29.05,FALSE,"04-11-2015","3PT Field Goal"
-0.7,11.25,TRUE,"04-11-2015","2PT Field Goal"
0.6,7.45,FALSE,"04-11-2015","2PT Field Goal"
-9.9,30.25,TRUE,"04-11-2015","3PT Field Goal"
0.5,10.05,FALSE,"04-11-2015","2PT Field Goal"
0.5,6.65,TRUE,"04-11-2015","2PT Field Goal"
-23.1,9.65,FALSE,"04-11-2015","3PT Field Goal"
15.7,27.15,FALSE,"04-11-2015","3PT Field Goal"
16,5.65,TRUE,"04-11-2015","2PT Field Goal"
-23.7,5.65,TRUE,"04-11-2015","3PT Field Goal"
-1,7.45,TRUE,"04-11-2015","2PT Field Goal"
-10.2,22.25,TRUE,"04-11-2015","2PT Field Goal"
4.1,31.05,FALSE,"04-11-2015","3PT Field Goal"
20.2,19.75,TRUE,"04-11-2015","3PT Field Goal"
2.3,9.65,FALSE,"04-11-2015","2PT Field Goal"
-2.1,28.05,FALSE,"04-11-2015","2PT Field Goal"
23.2,7.85,TRUE,"04-11-2015","3PT Field Goal"
9.2,31.85,FALSE,"04-11-2015","3PT Field Goal"
-7.7,29.45,TRUE,"04-11-2015","3PT Field Goal"
-13.2,30.15,TRUE,"04-09-2015","3PT Field Goal"
1.5,6.95,TRUE,"04-09-2015","2PT Field Goal"
-17.3,10.85,TRUE,"04-09-2015","2PT Field Goal"
1.6,6.15,TRUE,"04-09-2015","2PT Field Goal"
-13.6,18.15,TRUE,"04-09-2015","2PT Field Goal"
-13.8,27.95,TRUE,"04-09-2015","3PT Field Goal"
-9.4,12.75,TRUE,"04-09-2015","2PT Field Goal"
-1.2,7.55,FALSE,"04-09-2015","2PT Field Goal"
-1.8,6.75,TRUE,"04-09-2015","2PT Field Goal"
23.2,6.65,FALSE,"04-09-2015","3PT Field Goal"
1.1,6.45,TRUE,"04-09-2015","2PT Field Goal"
-0.7,7.45,TRUE,"04-09-2015","2PT Field Goal"
19.4,21.65,TRUE,"04-09-2015","3PT Field Goal"
12.7,29.85,TRUE,"04-09-2015","3PT Field Goal"
1.5,30.65,TRUE,"04-09-2015","3PT Field Goal"
22.3,10.75,FALSE,"04-09-2015","3PT Field Goal"
-1,5.85,TRUE,"04-09-2015","2PT Field Goal"
11.7,28.85,FALSE,"04-09-2015","3PT Field Goal"
19,24.65,FALSE,"04-09-2015","3PT Field Goal"
-12.5,28.55,TRUE,"04-09-2015","3PT Field Goal"
5.2,30.45,FALSE,"04-09-2015","3PT Field Goal"
19.3,25.85,TRUE,"04-09-2015","3PT Field Goal"
10.9,29.85,TRUE,"04-09-2015","3PT Field Goal"
-14.6,29.35,FALSE,"04-07-2015","3PT Field Goal"
2.7,13.25,FALSE,"04-07-2015","2PT Field Goal"
12.5,30.75,TRUE,"04-07-2015","3PT Field Goal"
0,4.75,TRUE,"04-07-2015","2PT Field Goal"
-3.9,14.35,TRUE,"04-07-2015","2PT Field Goal"
3.4,33.95,FALSE,"04-07-2015","3PT Field Goal"
0,6.45,FALSE,"04-07-2015","2PT Field Goal"
16.6,23.85,FALSE,"04-07-2015","3PT Field Goal"
-0.9,6.15,FALSE,"04-07-2015","2PT Field Goal"
-14.7,26.15,TRUE,"04-07-2015","3PT Field Goal"
-9.1,29.95,TRUE,"04-07-2015","3PT Field Goal"
-2.1,30.75,TRUE,"04-07-2015","3PT Field Goal"
1,20.35,FALSE,"04-07-2015","2PT Field Goal"
-14.4,26.55,TRUE,"04-07-2015","3PT Field Goal"
0,5.35,TRUE,"04-07-2015","2PT Field Goal"
-12.2,16.85,FALSE,"04-07-2015","2PT Field Goal"
-12.9,23.55,TRUE,"04-07-2015","2PT Field Goal"
-9.4,26.85,FALSE,"04-07-2015","2PT Field Goal"
20.2,40.55,FALSE,"04-05-2015","3PT Field Goal"
-16.5,28.75,FALSE,"04-05-2015","3PT Field Goal"
-6.1,31.25,FALSE,"04-05-2015","3PT Field Goal"
-2.6,30.45,TRUE,"04-05-2015","3PT Field Goal"
-0.6,5.35,TRUE,"04-05-2015","2PT Field Goal"
-8.4,28.35,TRUE,"04-05-2015","3PT Field Goal"
-2.8,25.85,TRUE,"04-05-2015","2PT Field Goal"
24.2,4.45,TRUE,"04-05-2015","3PT Field Goal"
6,29.45,FALSE,"04-05-2015","3PT Field Goal"
-1.7,24.25,FALSE,"04-05-2015","2PT Field Goal"
-0.6,6.45,TRUE,"04-05-2015","2PT Field Goal"
-2.1,29.85,TRUE,"04-05-2015","3PT Field Goal"
-9.2,28.55,TRUE,"04-05-2015","3PT Field Goal"
-17.3,23.55,FALSE,"04-05-2015","3PT Field Goal"
-1.3,5.35,FALSE,"04-05-2015","2PT Field Goal"
-4,5.85,TRUE,"04-05-2015","2PT Field Goal"
17.1,11.55,FALSE,"04-05-2015","2PT Field Goal"
-9.5,27.75,FALSE,"04-04-2015","3PT Field Goal"
1.3,10.45,FALSE,"04-04-2015","2PT Field Goal"
2.4,7.45,FALSE,"04-04-2015","2PT Field Goal"
-5.6,5.65,FALSE,"04-04-2015","2PT Field Goal"
2.1,5.25,TRUE,"04-04-2015","2PT Field Goal"
16.9,23.05,FALSE,"04-04-2015","3PT Field Goal"
-0.6,9.65,FALSE,"04-04-2015","2PT Field Goal"
-11.9,28.85,FALSE,"04-04-2015","3PT Field Goal"
-22.6,5.85,TRUE,"04-04-2015","3PT Field Goal"
0.5,5.25,TRUE,"04-04-2015","2PT Field Goal"
-4.5,17.35,FALSE,"04-04-2015","2PT Field Goal"
-4.7,5.85,TRUE,"04-04-2015","2PT Field Goal"
-22.8,16.25,TRUE,"04-02-2015","3PT Field Goal"
-4.8,7.85,FALSE,"04-02-2015","2PT Field Goal"
-20.6,19.75,FALSE,"04-02-2015","3PT Field Goal"
-12.1,28.25,FALSE,"04-02-2015","3PT Field Goal"
-12.1,27.75,TRUE,"04-02-2015","3PT Field Goal"
-20.3,21.95,FALSE,"04-02-2015","3PT Field Goal"
-6.4,30.65,TRUE,"04-02-2015","3PT Field Goal"
1.8,14.05,FALSE,"04-02-2015","2PT Field Goal"
14.1,21.95,TRUE,"04-02-2015","2PT Field Goal"
-3.2,21.15,FALSE,"04-02-2015","2PT Field Goal"
-23.3,13.45,TRUE,"04-02-2015","3PT Field Goal"
-0.2,19.75,TRUE,"04-02-2015","2PT Field Goal"
-1.2,6.45,TRUE,"04-02-2015","2PT Field Goal"
-23.3,5.65,TRUE,"04-02-2015","3PT Field Goal"
-0.2,15.65,FALSE,"04-02-2015","2PT Field Goal"
-19.5,7.25,FALSE,"04-02-2015","2PT Field Goal"
4.6,14.85,TRUE,"04-02-2015","2PT Field Goal"
-13.6,28.75,TRUE,"04-02-2015","3PT Field Goal"
1.6,6.95,FALSE,"04-02-2015","2PT Field Goal"
5.2,30.65,FALSE,"04-02-2015","3PT Field Goal"
-23.4,11.85,FALSE,"04-02-2015","3PT Field Goal"
-9.2,6.75,FALSE,"04-02-2015","2PT Field Goal"
-15.1,10.55,FALSE,"03-31-2015","2PT Field Goal"
6.5,19.25,FALSE,"03-31-2015","2PT Field Goal"
-23.1,4.95,FALSE,"03-31-2015","3PT Field Goal"
-21.4,20.55,TRUE,"03-31-2015","3PT Field Goal"
7.5,26.55,TRUE,"03-31-2015","2PT Field Goal"
-18.5,13.45,TRUE,"03-31-2015","2PT Field Goal"
-1.8,5.35,TRUE,"03-31-2015","2PT Field Goal"
-7.5,11.35,FALSE,"03-31-2015","2PT Field Goal"
10.3,5.05,TRUE,"03-31-2015","2PT Field Goal"
-22.6,12.35,TRUE,"03-31-2015","3PT Field Goal"
-7.2,29.45,TRUE,"03-31-2015","3PT Field Goal"
-12.5,20.85,FALSE,"03-31-2015","2PT Field Goal"
-1,5.25,FALSE,"03-31-2015","2PT Field Goal"
-12.5,28.75,FALSE,"03-31-2015","3PT Field Goal"
23.2,5.85,TRUE,"03-31-2015","3PT Field Goal"
21.7,18.65,TRUE,"03-28-2015","3PT Field Goal"
-0.4,6.65,TRUE,"03-28-2015","2PT Field Goal"
0,5.55,FALSE,"03-28-2015","2PT Field Goal"
-23,7.45,TRUE,"03-28-2015","3PT Field Goal"
-10.2,12.75,FALSE,"03-28-2015","2PT Field Goal"
22.9,14.15,TRUE,"03-28-2015","3PT Field Goal"
-11.6,26.95,TRUE,"03-28-2015","3PT Field Goal"
-21.2,29.15,FALSE,"03-28-2015","3PT Field Goal"
-14.3,27.15,TRUE,"03-28-2015","3PT Field Goal"
0.2,5.25,TRUE,"03-28-2015","2PT Field Goal"
-23.7,4.65,FALSE,"03-28-2015","3PT Field Goal"
0.5,30.75,FALSE,"03-28-2015","3PT Field Goal"
-21.4,18.95,TRUE,"03-28-2015","3PT Field Goal"
16.3,26.55,FALSE,"03-27-2015","3PT Field Goal"
-10.3,29.15,TRUE,"03-27-2015","3PT Field Goal"
-12.4,16.75,FALSE,"03-27-2015","2PT Field Goal"
-13.5,29.45,FALSE,"03-27-2015","3PT Field Goal"
-23.4,8.55,TRUE,"03-27-2015","3PT Field Goal"
9.7,28.55,FALSE,"03-27-2015","3PT Field Goal"
2.1,31.25,TRUE,"03-27-2015","3PT Field Goal"
