"LOC_X","LOC_Y","SHOT_MADE","GAME_DATE","SHOT_TYPE"
-1.6,7.85,TRUE,"11-03-2023","2PT Field Goal"
16.9,24.05,FALSE,"11-03-2023","3PT Field Goal"
8.6,30.35,TRUE,"11-03-2023","3PT Field Goal"
-3.2,6.35,FALSE,"11-03-2023","2PT Field Goal"
3.8,7.25,FALSE,"11-03-2023","2PT Field Goal"
6.7,13.25,TRUE,"11-03-2023","2PT Field Goal"
-6.7,19.05,FALSE,"11-03-2023","2PT Field Goal"
-15.3,27.25,FALSE,"11-03-2023","3PT Field Goal"
-0.9,14.45,TRUE,"11-03-2023","2PT Field Goal"
-7,18.55,FALSE,"11-03-2023","2PT Field Goal"
-16.7,25.35,TRUE,"11-03-2023","3PT Field Goal"
-12,31.15,FALSE,"11-03-2023","3PT Field Goal"
17,28.35,TRUE,"11-03-2023","3PT Field Goal"
2.7,6.95,TRUE,"11-03-2023","2PT Field Goal"
-6.6,20.35,FALSE,"11-03-2023","2PT Field Goal"
22.9,6.45,FALSE,"11-03-2023","3PT Field Goal"
-3.2,6.55,FALSE,"11-03-2023","2PT Field Goal"
0.7,19.45,TRUE,"11-03-2023","2PT Field Goal"
6.5,16.55,FALSE,"11-03-2023","2PT Field Goal"
-10,14.25,FALSE,"11-03-2023","2PT Field Goal"
-12.6,28.35,TRUE,"11-03-2023","3PT Field Goal"
-15.1,26.35,TRUE,"11-03-2023","3PT Field Goal"
16.7,27.85,FALSE,"11-03-2023","3PT Field Goal"
19.2,27.05,TRUE,"11-03-2023","3PT Field Goal"
-1.2,16.85,FALSE,"11-10-2023","2PT Field Goal"
0.7,6.15,TRUE,"11-10-2023","2PT Field Goal"
-1.2,6.55,TRUE,"11-10-2023","2PT Field Goal"
9.3,12.05,TRUE,"11-10-2023","2PT Field Goal"
0.7,33.05,TRUE,"11-10-2023","3PT Field Goal"
-0.4,31.25,FALSE,"11-10-2023","3PT Field Goal"
0.1,15.55,TRUE,"11-10-2023","2PT Field Goal"
-8.2,31.35,TRUE,"11-10-2023","3PT Field Goal"
-11,32.15,FALSE,"11-10-2023","3PT Field Goal"
11.2,16.35,TRUE,"11-10-2023","2PT Field Goal"
15.8,28.95,TRUE,"11-10-2023","3PT Field Goal"
-14.7,27.35,TRUE,"11-10-2023","3PT Field Goal"
6.9,12.45,TRUE,"11-10-2023","2PT Field Goal"
3.3,13.75,TRUE,"11-10-2023","2PT Field Goal"
-11.5,28.55,TRUE,"11-10-2023","3PT Field Goal"
-4,15.85,TRUE,"11-10-2023","2PT Field Goal"
-6.2,8.35,TRUE,"11-10-2023","2PT Field Goal"
15.7,17.25,TRUE,"11-10-2023","2PT Field Goal"
21.2,28.35,TRUE,"11-10-2023","3PT Field Goal"
-14.8,26.75,FALSE,"11-10-2023","3PT Field Goal"
-6.1,7.95,TRUE,"11-10-2023","2PT Field Goal"
0.2,16.55,FALSE,"11-14-2023","2PT Field Goal"
-0.4,30.75,TRUE,"11-14-2023","3PT Field Goal"
-13.1,21.85,FALSE,"11-14-2023","2PT Field Goal"
19.1,3.95,FALSE,"11-14-2023","2PT Field Goal"
-8.5,5.75,FALSE,"11-14-2023","2PT Field Goal"
-4,13.15,FALSE,"11-14-2023","2PT Field Goal"
0,32.55,FALSE,"11-14-2023","3PT Field Goal"
-6,6.55,FALSE,"11-14-2023","2PT Field Goal"
-3.2,6.35,TRUE,"11-14-2023","2PT Field Goal"
0,5.25,FALSE,"11-14-2023","2PT Field Goal"
-9.1,18.35,FALSE,"11-14-2023","2PT Field Goal"
-23.2,14.05,FALSE,"11-14-2023","3PT Field Goal"
-8.6,12.15,FALSE,"11-14-2023","2PT Field Goal"
-0.9,21.05,TRUE,"11-14-2023","2PT Field Goal"
-16.1,25.65,TRUE,"11-14-2023","3PT Field Goal"
16.3,29.05,TRUE,"11-14-2023","3PT Field Goal"
-10.9,28.35,FALSE,"11-28-2023","3PT Field Goal"
-0.4,5.85,FALSE,"11-28-2023","2PT Field Goal"
-4,8.55,TRUE,"11-28-2023","2PT Field Goal"
4.5,29.75,TRUE,"11-28-2023","3PT Field Goal"
12.6,27.35,FALSE,"11-28-2023","3PT Field Goal"
-1.2,20.85,FALSE,"11-28-2023","2PT Field Goal"
9.2,16.35,FALSE,"11-28-2023","2PT Field Goal"
3.9,16.95,TRUE,"11-28-2023","2PT Field Goal"
11.6,28.25,FALSE,"11-28-2023","3PT Field Goal"
-11.9,22.35,TRUE,"11-28-2023","2PT Field Goal"
1.5,30.55,TRUE,"11-28-2023","3PT Field Goal"
13.4,28.65,FALSE,"11-28-2023","3PT Field Goal"
1.2,32.25,TRUE,"11-28-2023","3PT Field Goal"
-13.6,14.85,FALSE,"11-28-2023","2PT Field Goal"
0.6,6.25,TRUE,"11-28-2023","2PT Field Goal"
-0.6,6.45,TRUE,"11-28-2023","2PT Field Goal"
11.8,14.25,TRUE,"11-28-2023","2PT Field Goal"
0,32.15,FALSE,"11-28-2023","3PT Field Goal"
-1.8,8.15,TRUE,"11-28-2023","2PT Field Goal"
14.3,19.55,TRUE,"11-28-2023","2PT Field Goal"
0.4,12.65,FALSE,"11-28-2023","2PT Field Goal"
9.4,11.55,FALSE,"11-28-2023","2PT Field Goal"
-3.4,5.85,TRUE,"11-28-2023","2PT Field Goal"
-2.9,5.65,TRUE,"11-28-2023","2PT Field Goal"
2.3,8.05,TRUE,"11-28-2023","2PT Field Goal"
-4.7,32.05,FALSE,"11-28-2023","3PT Field Goal"
-18.1,24.35,FALSE,"11-28-2023","3PT Field Goal"
15,7.45,FALSE,"11-28-2023","2PT Field Goal"
-0.1,15.95,TRUE,"11-28-2023","2PT Field Goal"
-4.5,7.95,FALSE,"10-25-2023","2PT Field Goal"
9.4,28.25,TRUE,"10-25-2023","3PT Field Goal"
-11.8,27.05,FALSE,"10-25-2023","3PT Field Goal"
2.2,5.05,TRUE,"10-25-2023","2PT Field Goal"
-1.8,5.25,TRUE,"10-25-2023","2PT Field Goal"
4.8,31.95,FALSE,"10-25-2023","3PT Field Goal"
-2,5.65,TRUE,"10-25-2023","2PT Field Goal"
-3.4,5.85,FALSE,"10-25-2023","2PT Field Goal"
-2.9,32.05,FALSE,"10-25-2023","3PT Field Goal"
-4.7,7.75,TRUE,"10-25-2023","2PT Field Goal"
-11.5,18.85,TRUE,"10-25-2023","2PT Field Goal"
