"LOC_X","LOC_Y","SHOT_MADE","GAME_DATE","SHOT_TYPE"
18,22.45,FALSE,"04-10-2018","3PT Field Goal"
1.2,6.75,TRUE,"04-10-2018","2PT Field Goal"
3.3,37.25,FALSE,"04-10-2018","3PT Field Goal"
0.5,7.35,FALSE,"04-10-2018","2PT Field Goal"
13.9,27.55,FALSE,"04-10-2018","3PT Field Goal"
1.9,6.55,TRUE,"04-10-2018","2PT Field Goal"
15,26.15,TRUE,"04-10-2018","3PT Field Goal"
-16.3,25.45,TRUE,"04-10-2018","3PT Field Goal"
1.2,7.45,FALSE,"04-10-2018","2PT Field Goal"
-22.8,14.15,TRUE,"04-10-2018","3PT Field Goal"
0.5,8.35,FALSE,"04-10-2018","2PT Field Goal"
-8.6,16.15,FALSE,"04-10-2018","2PT Field Goal"
2.3,8.15,TRUE,"04-10-2018","2PT Field Goal"
-13.1,28.55,FALSE,"04-10-2018","3PT Field Goal"
0,4.65,FALSE,"04-10-2018","2PT Field Goal"
2.4,30.95,FALSE,"04-07-2018","3PT Field Goal"
9,29.25,FALSE,"04-07-2018","3PT Field Goal"
3.3,7.85,FALSE,"04-07-2018","2PT Field Goal"
0.9,6.05,FALSE,"04-07-2018","2PT Field Goal"
-7.8,29.85,TRUE,"04-07-2018","3PT Field Goal"
-0.5,6.25,FALSE,"04-07-2018","2PT Field Goal"
21.2,19.05,FALSE,"04-07-2018","3PT Field Goal"
-7.1,4.85,TRUE,"04-07-2018","2PT Field Goal"
1.9,29.85,TRUE,"04-07-2018","3PT Field Goal"
-13.9,25.45,TRUE,"04-07-2018","3PT Field Goal"
0.5,5.75,FALSE,"04-07-2018","2PT Field Goal"
7.1,18.95,TRUE,"04-07-2018","2PT Field Goal"
8.8,28.45,FALSE,"04-07-2018","3PT Field Goal"
5.1,9.05,TRUE,"04-07-2018","2PT Field Goal"
-0.5,4.75,TRUE,"04-07-2018","2PT Field Goal"
-2.1,30.15,FALSE,"04-07-2018","3PT Field Goal"
1.7,6.55,TRUE,"04-05-2018","2PT Field Goal"
-8.4,29.55,FALSE,"04-05-2018","3PT Field Goal"
1.6,5.95,TRUE,"04-05-2018","2PT Field Goal"
1.6,20.35,FALSE,"04-05-2018","2PT Field Goal"
3,6.55,FALSE,"04-05-2018","2PT Field Goal"
-2.7,6.25,TRUE,"04-05-2018","2PT Field Goal"
-11,29.85,FALSE,"04-05-2018","3PT Field Goal"
-22.1,18.45,TRUE,"04-05-2018","3PT Field Goal"
2.7,6.95,FALSE,"04-05-2018","2PT Field Goal"
