"LOC_X","LOC_Y","SHOT_MADE","GAME_DATE","SHOT_TYPE"
12.3,26.25,TRUE,"04-19-2006","3PT Field Goal"
4.8,9.75,FALSE,"04-19-2006","2PT Field Goal"
-5.7,28.95,TRUE,"04-19-2006","3PT Field Goal"
9.2,27.45,TRUE,"04-19-2006","3PT Field Goal"
0,5.25,TRUE,"04-19-2006","2PT Field Goal"
11,26.75,TRUE,"04-19-2006","3PT Field Goal"
-24,6.25,TRUE,"04-17-2006","3PT Field Goal"
-18.6,23.35,TRUE,"04-17-2006","3PT Field Goal"
4.6,10.15,FALSE,"04-17-2006","2PT Field Goal"
15.9,25.35,TRUE,"04-17-2006","3PT Field Goal"
0,5.25,FALSE,"04-17-2006","2PT Field Goal"
-16.4,21.25,FALSE,"04-17-2006","2PT Field Goal"
0,5.25,TRUE,"04-17-2006","2PT Field Goal"
11.2,15.25,TRUE,"04-13-2006","2PT Field Goal"
-4.3,20.35,FALSE,"04-13-2006","2PT Field Goal"
0,5.25,TRUE,"04-13-2006","2PT Field Goal"
3.9,12.95,FALSE,"04-13-2006","2PT Field Goal"
0,5.25,TRUE,"04-13-2006","2PT Field Goal"
-21.8,18.45,FALSE,"04-13-2006","3PT Field Goal"
13.8,24.95,FALSE,"04-13-2006","3PT Field Goal"
18.7,14.15,FALSE,"04-13-2006","2PT Field Goal"
-16.3,21.05,FALSE,"04-13-2006","2PT Field Goal"
8,28.15,TRUE,"04-11-2006","3PT Field Goal"
5.7,29.05,FALSE,"04-11-2006","3PT Field Goal"
-0.5,23.85,TRUE,"04-11-2006","2PT Field Goal"
-5.7,5.25,TRUE,"04-11-2006","2PT Field Goal"
8,8.85,FALSE,"04-11-2006","2PT Field Goal"
-21.8,17.25,FALSE,"04-11-2006","3PT Field Goal"
0,5.25,TRUE,"04-11-2006","2PT Field Goal"
13.5,19.55,FALSE,"04-11-2006","2PT Field Goal"
0,5.25,FALSE,"04-11-2006","2PT Field Goal"
-18.1,20.75,FALSE,"04-11-2006","3PT Field Goal"
0,5.25,TRUE,"04-11-2006","2PT Field Goal"
-14.4,9.55,TRUE,"04-11-2006","2PT Field Goal"
